#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490799900000000205e-02	1.050000000000000044e+00	3.490799900000000205e-02
5.361336099999999938e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490821000000000202e-02	1.050000000000000044e+00	3.490821000000000202e-02
5.748784999999999812e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490845399999999848e-02	1.050000000000000044e+00	3.490845399999999848e-02
6.164233699999999594e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490873399999999682e-02	1.050000000000000044e+00	3.490873399999999682e-02
6.609705700000000128e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490905500000000133e-02	1.050000000000000044e+00	3.490905500000000133e-02
7.087370800000000415e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490942500000000087e-02	1.050000000000000044e+00	3.490942500000000087e-02
7.599555399999999850e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.490985099999999869e-02	1.050000000000000044e+00	3.490985099999999869e-02
8.148754200000000836e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491033999999999804e-02	1.050000000000000044e+00	3.491033999999999804e-02
8.737641999999999243e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491090200000000060e-02	1.050000000000000044e+00	3.491090200000000060e-02
9.369087099999999779e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491154900000000005e-02	1.050000000000000044e+00	3.491154900000000005e-02
1.004616500000000023e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491229199999999755e-02	1.050000000000000044e+00	3.491229199999999755e-02
1.077217300000000044e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491314599999999907e-02	1.050000000000000044e+00	3.491314599999999907e-02
1.155064899999999994e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491412900000000208e-02	1.050000000000000044e+00	3.491412900000000208e-02
1.238538199999999989e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491525799999999763e-02	1.050000000000000044e+00	3.491525799999999763e-02
1.328043899999999944e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491655700000000084e-02	1.050000000000000044e+00	3.491655700000000084e-02
1.424017899999999948e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491804999999999909e-02	1.050000000000000044e+00	3.491804999999999909e-02
1.526927799999999991e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.491976699999999739e-02	1.050000000000000044e+00	3.491976699999999739e-02
1.637274599999999936e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.492174099999999920e-02	1.050000000000000044e+00	3.492174099999999920e-02
1.755595900000000142e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.492400999999999839e-02	1.050000000000000044e+00	3.492400999999999839e-02
1.882467899999999972e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.492661799999999955e-02	1.050000000000000044e+00	3.492661799999999955e-02
2.018508599999999831e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.492961800000000255e-02	1.050000000000000044e+00	3.492961800000000255e-02
2.164380600000000143e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.493306499999999926e-02	1.050000000000000044e+00	3.493306499999999926e-02
2.320794400000000124e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.493702900000000139e-02	1.050000000000000044e+00	3.493702900000000139e-02
2.488511799999999852e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.494158599999999670e-02	1.050000000000000044e+00	3.494158599999999670e-02
2.668349600000000166e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.494682500000000080e-02	1.050000000000000044e+00	3.494682500000000080e-02
2.861183799999999877e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.495284700000000216e-02	1.050000000000000044e+00	3.495284700000000216e-02
3.067953599999999881e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.495977000000000112e-02	1.050000000000000044e+00	3.495977000000000112e-02
3.289666100000000171e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.496772799999999654e-02	1.050000000000000044e+00	3.496772799999999654e-02
3.527401199999999903e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.497687499999999755e-02	1.050000000000000044e+00	3.497687499999999755e-02
3.782316600000000051e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.498739000000000016e-02	1.050000000000000044e+00	3.498739000000000016e-02
4.055654200000000031e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.499947500000000211e-02	1.050000000000000044e+00	3.499947500000000211e-02
4.348745000000000260e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501336399999999821e-02	1.050000000000000044e+00	3.501336399999999821e-02
4.663016700000000014e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.502932699999999899e-02	1.050000000000000044e+00	3.502932699999999899e-02
5.000000000000000000e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.504767200000000194e-02	1.050000000000000044e+00	3.504767200000000194e-02
5.361336099999999760e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.506875100000000217e-02	1.050000000000000044e+00	3.506875100000000217e-02
5.748785000000000167e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.509297200000000005e-02	1.050000000000000044e+00	3.509297200000000005e-02
6.164233699999999772e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.512080000000000063e-02	1.050000000000000044e+00	3.512080000000000063e-02
6.609705700000000661e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.515276800000000090e-02	1.050000000000000044e+00	3.515276800000000090e-02
7.087370799999999349e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.518948699999999846e-02	1.050000000000000044e+00	3.518948699999999846e-02
7.599555399999999850e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.523165799999999903e-02	1.050000000000000044e+00	3.523165799999999903e-02
8.148754200000000480e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.528008199999999733e-02	1.050000000000000044e+00	3.528008199999999733e-02
