#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.044781600000000088e+00	-1.177796600000000082e-02	1.003969600000000018e+00	-7.403933599999999726e-02	1.086076400000000053e+00	4.882045499999999871e-02
5.279491000000000156e+00	1.042214299999999927e+00	-1.519752800000000008e-02	9.996799400000000446e-01	-7.138295399999999846e-02	1.086009000000000002e+00	3.964014800000000005e-02
5.574605000000000032e+00	1.039947699999999919e+00	-1.775637700000000027e-02	9.957169599999999843e-01	-6.852368000000000348e-02	1.084581400000000029e+00	3.131107699999999966e-02
5.886215299999999928e+00	1.037314800000000092e+00	-1.965077399999999933e-02	9.923131099999999982e-01	-6.453788900000000106e-02	1.082063199999999892e+00	2.360101499999999949e-02
6.215244099999999605e+00	1.034778500000000045e+00	-2.090784399999999835e-02	9.903304099999999943e-01	-6.013999200000000322e-02	1.078543999999999947e+00	1.740135699999999924e-02
6.562665100000000251e+00	1.032545299999999999e+00	-2.154234199999999905e-02	9.890635599999999528e-01	-5.610234399999999844e-02	1.075213600000000103e+00	1.236721600000000032e-02
6.929506199999999616e+00	1.030373299999999936e+00	-2.142241500000000021e-02	9.886000000000000343e-01	-5.219946000000000308e-02	1.071220599999999967e+00	8.403721200000000349e-03
7.316853100000000332e+00	1.028711699999999896e+00	-2.136282399999999901e-02	9.888929400000000536e-01	-4.892532699999999762e-02	1.068617900000000009e+00	5.212385299999999604e-03
7.725851999999999720e+00	1.027042199999999905e+00	-2.141779900000000125e-02	9.886090400000000500e-01	-4.592637399999999898e-02	1.066442600000000018e+00	2.602426399999999834e-03
8.157713100000000495e+00	1.025627599999999973e+00	-2.158351199999999914e-02	9.885470600000000330e-01	-4.330501999999999962e-02	1.065088000000000035e+00	-3.417424499999999860e-05
8.613714599999999777e+00	1.024537400000000043e+00	-2.187317399999999870e-02	9.879680199999999468e-01	-4.159573400000000226e-02	1.064319299999999968e+00	-2.217869899999999790e-03
9.095205699999999283e+00	1.023484300000000013e+00	-2.244466999999999990e-02	9.877809800000000306e-01	-4.168528299999999659e-02	1.063074499999999922e+00	-2.457990599999999946e-03
9.603611199999999570e+00	1.022690000000000099e+00	-2.306526899999999936e-02	9.875806799999999885e-01	-4.442972800000000166e-02	1.061519600000000008e+00	-1.106820500000000066e-03
1.014043599999999934e+01	1.021769200000000044e+00	-2.331455500000000070e-02	9.881101199999999807e-01	-4.836883200000000049e-02	1.059084600000000043e+00	1.593144899999999987e-03
1.070726799999999912e+01	1.020911600000000030e+00	-2.350040600000000146e-02	9.892876600000000131e-01	-5.344021000000000188e-02	1.056109200000000081e+00	4.741891199999999883e-03
