#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.838711999999999458e-01	-5.570993899999999652e-03	9.229955199999999582e-01	-5.568224499999999827e-02	1.043665099999999901e+00	4.466151000000000149e-02
5.279491000000000156e+00	9.831649700000000269e-01	-5.340584599999999987e-03	9.264938499999999522e-01	-5.384826899999999722e-02	1.039301100000000089e+00	4.306436899999999818e-02
5.574605000000000032e+00	9.827088600000000174e-01	-5.134706900000000039e-03	9.294263400000000175e-01	-5.214860200000000223e-02	1.035834200000000038e+00	4.177127800000000196e-02
5.886215299999999928e+00	9.823970899999999729e-01	-4.955283000000000430e-03	9.317014000000000129e-01	-5.020994200000000046e-02	1.032723400000000069e+00	4.069037600000000032e-02
6.215244099999999605e+00	9.818273400000000484e-01	-4.510441799999999855e-03	9.335712999999999928e-01	-4.827054000000000067e-02	1.029971600000000098e+00	3.932214900000000068e-02
6.562665100000000251e+00	9.816388400000000125e-01	-4.079769399999999720e-03	9.352816000000000463e-01	-4.625957199999999880e-02	1.028012699999999890e+00	3.827699400000000168e-02
6.929506199999999616e+00	9.816133999999999693e-01	-3.214939200000000059e-03	9.367402500000000520e-01	-4.418263499999999788e-02	1.026252699999999907e+00	3.711905100000000013e-02
7.316853100000000332e+00	9.816266900000000240e-01	-2.475787399999999829e-03	9.379723300000000208e-01	-4.146084099999999828e-02	1.025425699999999996e+00	3.574760700000000069e-02
7.725851999999999720e+00	9.819657699999999600e-01	-1.703443600000000002e-03	9.389630500000000213e-01	-3.857561300000000165e-02	1.025231900000000085e+00	3.426859000000000155e-02
8.157713100000000495e+00	9.823185199999999728e-01	-8.117231300000000028e-04	9.400695300000000421e-01	-3.549191599999999835e-02	1.025020899999999902e+00	3.279812000000000005e-02
8.613714599999999777e+00	9.830437400000000547e-01	-3.543708800000000043e-05	9.412031699999999779e-01	-3.221954900000000011e-02	1.025029500000000038e+00	3.120764399999999966e-02
9.095205699999999283e+00	9.837243900000000041e-01	8.263615000000000196e-04	9.424185299999999765e-01	-2.875978800000000141e-02	1.024955300000000014e+00	2.925346300000000038e-02
9.603611199999999570e+00	9.848099299999999445e-01	1.312230099999999984e-03	9.438865300000000014e-01	-2.534023999999999999e-02	1.025398500000000102e+00	2.710377699999999904e-02
1.014043599999999934e+01	9.859937500000000021e-01	1.759994699999999990e-03	9.455713900000000116e-01	-2.209737200000000054e-02	1.025627499999999914e+00	2.502278700000000120e-02
1.070726799999999912e+01	9.871112300000000062e-01	2.224509300000000050e-03	9.472025200000000478e-01	-1.882656499999999997e-02	1.025619099999999895e+00	2.299746600000000113e-02
1.130578500000000020e+01	9.881204900000000180e-01	2.536637100000000040e-03	9.492682199999999959e-01	-1.597319800000000095e-02	1.025692599999999954e+00	2.085677999999999838e-02
1.193775800000000054e+01	9.891190499999999997e-01	2.694083099999999929e-03	9.515073099999999950e-01	-1.360917199999999924e-02	1.025753200000000032e+00	1.904172100000000104e-02
1.260505700000000040e+01	9.900402699999999445e-01	2.959081200000000193e-03	9.537086900000000256e-01	-1.136843000000000055e-02	1.025400499999999937e+00	1.727303700000000150e-02
1.330965699999999963e+01	9.911651599999999895e-01	3.101077299999999929e-03	9.560268600000000339e-01	-9.732295000000000182e-03	1.025358999999999909e+00	1.571400800000000153e-02
1.405364299999999922e+01	9.920812700000000151e-01	3.060680599999999855e-03	9.583330899999999986e-01	-8.375902299999999842e-03	1.025106300000000026e+00	1.421763600000000051e-02
1.483921600000000041e+01	9.931207800000000363e-01	2.925200900000000069e-03	9.603751600000000055e-01	-7.298603399999999998e-03	1.024879799999999896e+00	1.326882100000000009e-02
1.566870100000000043e+01	9.939657899999999602e-01	2.812276299999999941e-03	9.623445800000000050e-01	-6.916983800000000085e-03	1.024614300000000089e+00	1.270046099999999969e-02
1.654455300000000051e+01	9.948080299999999543e-01	2.633811800000000064e-03	9.642965900000000090e-01	-6.950865700000000320e-03	1.024423899999999943e+00	1.238125900000000036e-02
1.746936399999999878e+01	9.957637299999999581e-01	2.547208799999999863e-03	9.660339000000000009e-01	-7.443076300000000395e-03	1.024610900000000102e+00	1.231822599999999983e-02
1.844586999999999932e+01	9.966281700000000354e-01	2.258924900000000135e-03	9.677661300000000022e-01	-8.394690999999999265e-03	1.024470400000000003e+00	1.278856199999999985e-02
1.947696099999999930e+01	9.971895299999999907e-01	1.916819400000000081e-03	9.692700899999999731e-01	-9.801826300000000131e-03	1.024567900000000087e+00	1.352908700000000040e-02
2.056568800000000152e+01	9.976919699999999835e-01	1.530269699999999922e-03	9.704190799999999895e-01	-1.142729099999999914e-02	1.024965600000000032e+00	1.461717199999999946e-02
2.171527199999999880e+01	9.982864399999999971e-01	1.224358899999999917e-03	9.716966200000000109e-01	-1.341713700000000085e-02	1.025421499999999986e+00	1.609267299999999831e-02
2.292911700000000152e+01	9.986789299999999647e-01	8.995203200000000295e-04	9.724228400000000105e-01	-1.597511899999999943e-02	1.025573099999999904e+00	1.786825900000000092e-02
2.421081300000000169e+01	9.992949700000000046e-01	4.937369300000000148e-04	9.731340699999999622e-01	-1.879208799999999846e-02	1.025962599999999947e+00	2.010216100000000033e-02
2.556415399999999849e+01	9.997544099999999823e-01	1.487560399999999995e-04	9.738331399999999860e-01	-2.198866999999999836e-02	1.026327400000000001e+00	2.264713399999999932e-02
2.699314400000000091e+01	1.000330799999999964e+00	-2.259108199999999866e-04	9.745436600000000338e-01	-2.589806199999999947e-02	1.026677300000000015e+00	2.573251899999999884e-02
2.850201200000000057e+01	1.000729600000000108e+00	-5.811734900000000347e-04	9.755808099999999650e-01	-3.026521100000000020e-02	1.026605800000000013e+00	2.888724399999999942e-02
3.009522300000000072e+01	1.001079899999999911e+00	-1.150706100000000072e-03	9.765949499999999617e-01	-3.483467700000000139e-02	1.026222200000000084e+00	3.250168999999999975e-02
3.177749100000000126e+01	1.001581599999999961e+00	-1.764778000000000050e-03	9.776583100000000304e-01	-4.004244400000000342e-02	1.025772399999999918e+00	3.623223899999999942e-02
3.355379599999999840e+01	1.001834899999999973e+00	-2.309989599999999910e-03	9.786123500000000197e-01	-4.531363299999999900e-02	1.025565099999999896e+00	3.944797199999999782e-02
3.542939200000000000e+01	1.002154699999999954e+00	-2.946354899999999860e-03	9.780020799999999959e-01	-5.023923200000000172e-02	1.026053099999999940e+00	4.285282499999999717e-02
3.740983200000000153e+01	1.002341499999999996e+00	-3.495324100000000208e-03	9.757302199999999814e-01	-5.428522799999999787e-02	1.028295399999999971e+00	4.513725200000000271e-02
3.950097399999999936e+01	1.002172400000000074e+00	-4.068929800000000048e-03	9.703700499999999840e-01	-5.655848900000000345e-02	1.032373599999999891e+00	4.571121300000000054e-02
4.170900699999999972e+01	1.001295000000000046e+00	-4.783782799999999717e-03	9.620710300000000492e-01	-5.679518100000000014e-02	1.038424000000000014e+00	4.435368700000000275e-02
4.404046499999999753e+01	9.999668499999999627e-01	-4.837031200000000385e-03	9.529305999999999610e-01	-5.338162400000000252e-02	1.045563400000000032e+00	4.050688399999999995e-02
4.650224699999999700e+01	9.987820400000000376e-01	-4.347309100000000190e-03	9.451392699999999758e-01	-4.706768699999999694e-02	1.051449300000000031e+00	3.382187700000000019e-02
4.910163899999999870e+01	9.981655000000000388e-01	-3.939450399999999859e-03	9.398263199999999928e-01	-3.896162400000000026e-02	1.054633699999999896e+00	2.778332899999999897e-02
5.184633199999999675e+01	9.977463600000000543e-01	-3.967911200000000249e-03	9.384844500000000256e-01	-3.179159899999999678e-02	1.055352800000000091e+00	2.246411800000000167e-02
5.474444799999999844e+01	9.974080300000000010e-01	-3.675608600000000118e-03	9.404141599999999990e-01	-2.781012700000000046e-02	1.053008699999999909e+00	2.147479199999999949e-02
5.780456399999999917e+01	9.967486100000000349e-01	-3.134334099999999939e-03	9.442910199999999810e-01	-2.796327100000000135e-02	1.049210600000000104e+00	2.372181099999999890e-02
6.103573500000000251e+01	9.966121500000000299e-01	-2.541526899999999988e-03	9.491606599999999894e-01	-2.940045100000000106e-02	1.043813300000000055e+00	2.668637899999999966e-02
